park_name,state,region,year,recreation_visits,area_acres
Great Smoky Mountains,TN,Eastern,2018,11421200,522427
Great Smoky Mountains,TN,Eastern,2019,12547743,522427
Great Smoky Mountains,TN,Eastern,2020,12095720,522427
Great Smoky Mountains,TN,Eastern,2021,14161548,522427
Great Smoky Mountains,TN,Eastern,2022,12937633,522427
Great Smoky Mountains,TN,Eastern,2023,13297647,522427
Great Smoky Mountains,TN,Eastern,2024,12191834,522427
Acadia,ME,Eastern,2018,3537575,49071
Acadia,ME,Eastern,2019,3437286,49071
Acadia,ME,Eastern,2020,2669034,49071
Acadia,ME,Eastern,2021,4069098,49071
Acadia,ME,Eastern,2022,3970260,49071
Acadia,ME,Eastern,2023,3879890,49071
Acadia,ME,Eastern,2024,3961661,49071
Shenandoah,VA,Eastern,2018,1264880,199224
Shenandoah,VA,Eastern,2019,1425507,199224
Shenandoah,VA,Eastern,2020,1313652,199224
Shenandoah,VA,Eastern,2021,1592312,199224
Shenandoah,VA,Eastern,2022,1592899,199224
Shenandoah,VA,Eastern,2023,1490177,199224
Shenandoah,VA,Eastern,2024,1535000,199224
Everglades,FL,Eastern,2018,597124,1508938
Everglades,FL,Eastern,2019,1089893,1508938
Everglades,FL,Eastern,2020,702319,1508938
Everglades,FL,Eastern,2021,942130,1508938
Everglades,FL,Eastern,2022,817253,1508938
Everglades,FL,Eastern,2023,805663,1508938
Everglades,FL,Eastern,2024,832400,1508938
Mammoth Cave,KY,Eastern,2018,533206,54016
Mammoth Cave,KY,Eastern,2019,551437,54016
Mammoth Cave,KY,Eastern,2020,415083,54016
Mammoth Cave,KY,Eastern,2021,515774,54016
Mammoth Cave,KY,Eastern,2022,515488,54016
Mammoth Cave,KY,Eastern,2023,633072,54016
Mammoth Cave,KY,Eastern,2024,642800,54016
Cuyahoga Valley,OH,Eastern,2018,2096053,32572
Cuyahoga Valley,OH,Eastern,2019,2237213,32572
Cuyahoga Valley,OH,Eastern,2020,2755365,32572
Cuyahoga Valley,OH,Eastern,2021,2575275,32572
Cuyahoga Valley,OH,Eastern,2022,2913312,32572
Cuyahoga Valley,OH,Eastern,2023,2860059,32572
Cuyahoga Valley,OH,Eastern,2024,2872295,32572
Yellowstone,WY,Mountain West,2018,4115000,2219791
Yellowstone,WY,Mountain West,2019,4020288,2219791
Yellowstone,WY,Mountain West,2020,3806305,2219791
Yellowstone,WY,Mountain West,2021,4860537,2219791
Yellowstone,WY,Mountain West,2022,3290242,2219791
Yellowstone,WY,Mountain West,2023,4501382,2219791
Yellowstone,WY,Mountain West,2024,4744353,2219791
Grand Teton,WY,Mountain West,2018,3491151,310044
Grand Teton,WY,Mountain West,2019,3405614,310044
Grand Teton,WY,Mountain West,2020,3289638,310044
Grand Teton,WY,Mountain West,2021,3885230,310044
Grand Teton,WY,Mountain West,2022,2806223,310044
Grand Teton,WY,Mountain West,2023,3417106,310044
Grand Teton,WY,Mountain West,2024,3628222,310044
Glacier,MT,Mountain West,2018,2965309,1012837
Glacier,MT,Mountain West,2019,3049839,1012837
Glacier,MT,Mountain West,2020,1698864,1012837
Glacier,MT,Mountain West,2021,3081656,1012837
Glacier,MT,Mountain West,2022,2908458,1012837
Glacier,MT,Mountain West,2023,2932141,1012837
Glacier,MT,Mountain West,2024,3206209,1012837
Rocky Mountain,CO,Mountain West,2018,4590493,265795
Rocky Mountain,CO,Mountain West,2019,4670053,265795
Rocky Mountain,CO,Mountain West,2020,3305199,265795
Rocky Mountain,CO,Mountain West,2021,4434848,265795
Rocky Mountain,CO,Mountain West,2022,4300424,265795
Rocky Mountain,CO,Mountain West,2023,4115837,265795
Rocky Mountain,CO,Mountain West,2024,4154349,265795
